,Dates,Future,Current Future,Next Future,Next Future current val,Number of contracts,Contract Value
0,2000-01-03,SPH00 index,1466.8,1466.8,1485.7,2.727024815925825,1000000
1,2000-01-04,SPH00 index,1411.8,1411.8,1430.0,2.727024815925825,962503.4087810199
2,2000-01-05,SPH00 index,1413.5,1413.5,1431.8,2.727024815925825,963662.3943277883
3,2000-01-06,SPH00 index,1404.0,1404.0,1422.1,2.727024815925825,957185.7103899645
4,2000-01-07,SPH00 index,1460.5,1460.5,1479.3,2.727024815925825,995704.9359149168
5,2000-01-10,SPH00 index,1475.0,1475.0,1493.8,2.727024815925825,1005590.4008726479
6,2000-01-11,SPH00 index,1454.3,1454.3,1472.9,2.727024815925825,991478.0474502317
7,2000-01-12,SPH00 index,1442.0,1442.0,1460.6,2.727024815925825,983092.4461412599
8,2000-01-13,SPH00 index,1458.5,1458.5,1460.6,2.727024815925825,994341.4235069539
9,2000-01-14,SPH00 index,1478.0,1478.0,1497.1,2.727024815925825,1007635.6694845923
10,2000-01-18,SPH00 index,1469.5,1469.5,1488.4,2.727024815925825,1001840.7417507499
11,2000-01-19,SPH00 index,1472.5,1472.5,1491.5,2.727024815925825,1003886.0103626943
12,2000-01-20,SPH00 index,1457.0,1457.0,1476.0,2.727024815925825,993318.7892009816
13,2000-01-21,SPH00 index,1453.7,1453.7,1472.6,2.727024815925825,991068.9937278429
14,2000-01-24,SPH00 index,1411.8,1411.8,1430.3,2.727024815925825,962503.4087810199
15,2000-01-25,SPH00 index,1418.6,1418.6,1437.2,2.727024815925825,967139.3509680937
16,2000-01-26,SPH00 index,1415.4,1415.4,1434.0,2.727024815925825,964957.7311153531
17,2000-01-27,SPH00 index,1409.8,1409.8,1428.3,2.727024815925825,961139.8963730569
18,2000-01-28,SPH00 index,1366.5,1366.5,1384.3,2.727024815925825,931619.8527406598
19,2000-01-31,SPH00 index,1401.0,1401.0,1419.4,2.727024815925825,955140.4417780201
20,2000-02-01,SPH00 index,1416.8,1416.8,1435.3,2.727024815925825,965912.1898009271
21,2000-02-02,SPH00 index,1415.5,1415.5,1434.1,2.727024815925825,965025.9067357513
22,2000-02-03,SPH00 index,1436.4,1436.4,1455.2,2.727024815925825,979274.6113989637
23,2000-02-04,SPH00 index,1431.5,1431.5,1450.3,2.727024815925825,975934.0059994546
24,2000-02-07,SPH00 index,1427.3,1427.3,1446.1,2.727024815925825,973070.6299427324
25,2000-02-08,SPH00 index,1446.2,1446.2,1465.2,2.727024815925825,985955.822197982
26,2000-02-09,SPH00 index,1418.3,1418.3,1437.0,2.727024815925825,966934.8241068993
27,2000-02-10,SPH00 index,1419.2,1419.2,1438.0,2.727024815925825,967548.4046904827
28,2000-02-11,SPH00 index,1396.8,1396.8,1415.2,2.727024815925825,952277.065721298
29,2000-02-14,SPH00 index,1398.7,1398.7,1417.1,2.727024815925825,953572.4025088629
30,2000-02-15,SPH00 index,1410.0,1410.0,1428.6,2.727024815925825,961276.2476138532
31,2000-02-16,SPH00 index,1392.8,1392.8,1411.0,2.727024815925825,949550.0409053721
32,2000-02-17,SPH00 index,1385.5,1385.5,1403.6,2.727024815925825,944573.2206163076
33,2000-02-18,SPH00 index,1353.3,1353.3,1371.1,2.727024815925825,922620.6708481046
34,2000-02-21,SPH00 index,1356.5,1356.5,1371.1,2.727024815925825,924802.2907008453
35,2000-02-22,SPH00 index,1349.0,1349.0,1366.8,2.727024815925825,919689.1191709845
36,2000-02-23,SPH00 index,1365.2,1365.2,1383.2,2.727024815925825,930733.569675484
37,2000-02-24,SPH00 index,1355.3,1355.3,1373.2,2.727024815925825,923984.1832560676
38,2000-02-25,SPH00 index,1338.1,1338.1,1355.8,2.727024815925825,912257.9765475865
39,2000-02-28,SPH00 index,1347.7,1347.7,1365.5,2.727024815925825,918802.8361058085
40,2000-02-29,SPH00 index,1372.0,1372.0,1390.1,2.727024815925825,935369.511862558
41,2000-03-01,SPH00 index,1385.0,1385.0,1403.1,2.727024815925825,944232.3425143169
42,2000-03-02,SPH00 index,1384.9,1384.9,1403.1,2.727024815925825,944164.1668939188
43,2000-03-03,SPH00 index,1410.7,1410.7,1429.3,2.727024815925825,961753.4769566403
44,2000-03-06,SPH00 index,1395.0,1395.0,1413.7,2.727024815925825,951049.9045541314
45,2000-03-07,SPH00 index,1351.8,1351.8,1370.2,2.727024815925825,921598.0365421325
46,2000-03-08,SPH00 index,1366.2,1366.2,1384.1,2.727024815925825,931415.3258794656
47,2000-03-09,SPH00 index,1404.2,1404.2,1422.5,2.727024815925825,957322.0616307608
48,2000-03-10,SPH00 index,1399.6,1399.6,1417.8,2.727024815925825,954185.983092446
49,2000-03-13,SPH00 index,1383.4,1383.4,1401.5,2.727024815925825,943141.5325879466
50,2000-03-14,SPH00 index,1362.2,1380.0,1380.0,2.727024815925825,928688.3010635397
51,2000-03-15,SPM00 index,1413.2,1413.2,1432.6,2.69185014801026,951030.6572920249
52,2000-03-16,SPM00 index,1478.0,1478.0,1498.5,2.69185014801026,994638.629689791
53,2000-03-17,SPM00 index,1489.0,1489.0,1509.4,2.69185014801026,1002041.2175968194
54,2000-03-20,SPM00 index,1478.1,1478.1,1498.5,2.69185014801026,994705.9259434914
55,2000-03-21,SPM00 index,1507.5,1507.5,1528.1,2.69185014801026,1014491.0245313668
56,2000-03-22,SPM00 index,1517.5,1517.5,1538.5,2.69185014801026,1021220.6499013924
57,2000-03-23,SPM00 index,1544.0,1544.0,1565.6,2.69185014801026,1039054.1571319604
58,2000-03-24,SPM00 index,1555.4,1555.4,1577.2,2.69185014801026,1046725.9300537896
59,2000-03-27,SPM00 index,1538.5,1538.5,1560.3,2.69185014801026,1035352.8631784463
60,2000-03-28,SPM00 index,1530.2,1530.2,1551.9,2.69185014801026,1029767.274121325
61,2000-03-29,SPM00 index,1530.5,1530.5,1552.3,2.69185014801026,1029969.1628824257
62,2000-03-30,SPM00 index,1504.3,1504.3,1525.6,2.69185014801026,1012337.5444129586
63,2000-03-31,SPM00 index,1515.3,1515.3,1536.6,2.69185014801026,1019740.1323199867
64,2000-04-03,SPM00 index,1528.2,1528.2,1549.5,2.69185014801026,1028421.3490473198
65,2000-04-04,SPM00 index,1519.5,1519.5,1540.5,2.69185014801026,1022566.5749753976
66,2000-04-05,SPM00 index,1505.5,1505.5,1526.5,2.69185014801026,1013145.0994573616
67,2000-04-06,SPM00 index,1516.5,1516.5,1537.9,2.69185014801026,1020547.6873643899
68,2000-04-07,SPM00 index,1529.0,1529.0,1550.4,2.69185014801026,1028959.7190769218
69,2000-04-10,SPM00 index,1521.5,1521.5,1542.8,2.69185014801026,1023912.5000494026
70,2000-04-11,SPM00 index,1519.0,1519.0,1540.1,2.69185014801026,1022230.0937068963
71,2000-04-12,SPM00 index,1476.7,1476.7,1497.2,2.69185014801026,993763.7783916878
72,2000-04-13,SPM00 index,1456.0,1456.0,1476.3,2.69185014801026,979833.4538757347
73,2000-04-14,SPM00 index,1367.5,1367.5,1386.0,2.69185014801026,920276.2693510078
74,2000-04-17,SPM00 index,1412.7,1412.7,1432.2,2.69185014801026,950694.1760235236
75,2000-04-18,SPM00 index,1452.7,1452.7,1472.7,2.69185014801026,977612.6775036263
76,2000-04-19,SPM00 index,1440.3,1440.3,1460.1,2.69185014801026,969267.9420447943
77,2000-04-20,SPM00 index,1447.2,1447.2,1467.2,2.69185014801026,973911.3835501121
78,2000-04-24,SPM00 index,1437.0,1437.0,1457.0,2.69185014801026,967047.165672686
79,2000-04-25,SPM00 index,1489.2,1489.2,1510.0,2.69185014801026,1002175.8101042198
80,2000-04-26,SPM00 index,1475.5,1475.5,1496.3,2.69185014801026,992956.2233472847
81,2000-04-27,SPM00 index,1467.3,1467.3,1488.3,2.69185014801026,987437.9305438637
82,2000-04-28,SPM00 index,1460.0,1460.0,1481.5,2.69185014801026,982525.304023745
83,2000-05-01,SPM00 index,1476.9,1476.9,1498.4,2.69185014801026,993898.3708990883
84,2000-05-02,SPM00 index,1450.5,1450.5,1471.5,2.69185014801026,976132.1599222206
85,2000-05-03,SPM00 index,1422.5,1422.5,1443.0,2.69185014801026,957289.2088861488
86,2000-05-04,SPM00 index,1423.2,1423.2,1444.0,2.69185014801026,957760.2826620506
87,2000-05-05,SPM00 index,1439.0,1439.0,1460.0,2.69185014801026,968393.0907466911
88,2000-05-08,SPM00 index,1430.0,1430.0,1451.0,2.69185014801026,962336.427913668
89,2000-05-09,SPM00 index,1419.8,1419.8,1440.8,2.69185014801026,955472.2100362418
90,2000-05-10,SPM00 index,1387.8,1387.8,1408.5,2.69185014801026,933937.4088521597
91,2000-05-11,SPM00 index,1415.0,1415.0,1435.8,2.69185014801026,952241.9898586295
92,2000-05-12,SPM00 index,1430.7,1430.7,1451.7,2.69185014801026,962807.5016895698
93,2000-05-15,SPM00 index,1457.7,1457.7,1479.2,2.69185014801026,980977.490188639
94,2000-05-16,SPM00 index,1471.7,1471.7,1493.4,2.69185014801026,990398.965706675
95,2000-05-17,SPM00 index,1456.7,1456.7,1478.4,2.69185014801026,980304.5276516365
96,2000-05-18,SPM00 index,1442.0,1442.0,1463.7,2.69185014801026,970411.9783576988
